,Unnamed: 0,sc_param1,sc_param2,sc_param3,"PR_kappa_A[emimTf2N,R125]","PR_kappa_A[R125,emimTf2N]","PR_kappa_B[emimTf2N,R125]",SSR
91,91,-0.0056789448304904,-0.0024990880062536,-0.4421570776653259,,,,
92,92,-0.0056789448304904,-0.0024990880062536,0.3462148440803054,,,,
93,93,-0.0056789448304904,-0.0024990880062536,0.5946877140171192,,,,
94,94,-0.0056789448304904,-0.0024990880062536,-0.8243533695771008,,,,
95,95,-0.0056789448304904,-0.0024990880062536,-0.2387541530751999,,,,
96,96,-0.0056789448304904,-0.0024990880062536,0.5823387924787944,,,,
97,97,-0.0056789448304904,-0.0024990880062536,0.913012196972992,,,,
98,98,-0.0056789448304904,-0.0024990880062536,0.9744145794842451,,,,
99,99,-0.0056789448304904,-0.0024990880062536,-0.1442171805144168,,,,
100,100,-0.0056789448304904,-0.0024990880062536,-0.1189426457752765,-0.0158698856551503,-0.048676630477072505,0.01427487790162315,0.18790038022709182
101,101,-0.0056789448304904,-0.0024990880062536,-0.2916981775154441,,,,
102,102,-0.0056789448304904,-0.0024990880062536,-0.082397558032196,-0.01753636831860046,0.22942955701612236,-0.2816299880213355,0.1695525385488389
103,103,-0.0056789448304904,-0.0024990880062536,0.5109740790671704,,,,
104,104,-0.0056789448304904,-0.0024990880062536,0.4796079468315777,0.005557319991777383,-3.966181591898683,4.312532471264429,8.299760108279632
105,105,-0.0056789448304904,-0.0024990880062536,0.965701932384792,,,,
106,106,-0.0056789448304904,-0.0024990880062536,-0.5720865440521887,,,,
107,107,-0.0056789448304904,-0.0024990880062536,-0.2190962374414767,,,,
108,108,-0.0056789448304904,-0.0024990880062536,0.3908623164548168,0.013667851255665006,0.6742958775546153,-0.17306515323728192,10.269964979200934
109,109,-0.0056789448304904,-0.0024990880062536,-0.6538456040028298,,,,
110,110,-0.0056789448304904,-0.0024990880062536,-0.3432793521384771,,,,
111,111,-0.0056789448304904,-0.0024990880062536,0.5893050167144718,,,,
112,112,-0.0056789448304904,-0.0024990880062536,-0.5310787485736742,,,,
113,113,-0.0056789448304904,-0.0024990880062536,-0.3145252110574543,,,,
114,114,-0.0056789448304904,-0.0024990880062536,-0.0801544030485856,-0.017536368082036825,0.22942951994386077,-0.2816299486194123,0.16955253854852687
115,115,-0.0056789448304904,-0.0024990880062536,-0.2761341397477875,,,,
116,116,-0.0056789448304904,-0.0024990880062536,-0.827706464148793,,,,
117,117,-0.0056789448304904,-0.0024990880062536,-0.0398116704451697,-0.01753636831859531,0.22942955701487083,-0.2816299880200312,0.16955253854816346
118,118,-0.0056789448304904,-0.0024990880062536,-0.4561086319443224,,,,
119,119,-0.0056789448304904,-0.0024990880062536,0.1536815935726478,0.000408160055709855,-1.7834067474896362,1.9762018495468092,1.605349198528215
120,120,-0.0056789448304904,-0.0024990880062536,-0.9586330406286604,,,,
121,121,-0.0056789448304904,-0.0024990880062536,0.2445238954049962,0.0033490173512900506,-2.5651158451636076,2.8103907028636415,3.3388563841459646
122,122,-0.0056789448304904,-0.0024990880062536,-0.1599805965564387,,,,
123,123,-0.0056789448304904,-0.0024990880062536,0.3024090560850636,,,,
124,124,-0.0056789448304904,-0.0024990880062536,-0.3608908247021195,,,,
125,125,-0.0056789448304904,-0.0024990880062536,-0.4001419870984187,,,,
126,126,-0.0056789448304904,-0.0024990880062536,-0.1265046811101918,-0.01586988565515806,-0.04867663047707197,0.014274877901564726,0.187900380225355
